dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319990	MCAO	primary	Endothelial	C1qa	0.6593574706782216	0.6593574706782216	0.1733809280979084	1.2085670576236731	0.5383375593901115	1.206901498615568	0.847270897302549
GSE174574	GSM5319991	MCAO	primary	Endothelial	C1qa	0.6581660336407943	0.6581660336407943	0.1394465545306575	1.1774281063483267	0.4891140983145778	1.2364753867436569	0.8362794564958903
GSE174574	GSM5319992	MCAO	primary	Endothelial	C1qa	0.6443298969072144	0.6443298969072144	0.0818298969072163	1.197809278350512	0.4163130230522194	1.1138695536169378	0.6584897478785503
GSE245386	GSM7841720	Sham	primary	Endothelial	C1qa	0.6807967313585209	0.6807967313585209	0.027579162410623	2.26710929519918	0.4398702833189843	1.0637039450174306	0.1069299133532429
GSE245386	GSM7841721	Sham	primary	Endothelial	C1qa	0.65913978494623	0.65913978494623	0.0155913978494623	2.2607526881720124	0.6095197519021618	0.8661078256693265	0.0536450301286515
GSE245386	GSM7841722	Sham	primary	Endothelial	C1qa	0.6429848078641612	0.6429848078641612	0.001787310098302	1.4535299374441215	0.0382411781070338	0.761334062267385	0.0060320271180126
GSE245386	GSM7841723	MCAO	primary	Endothelial	C1qa	0.8341683366733521	0.8341683366733521	0.0065130260521042	3.362725450901773	0.2057035070263353	1.192176089734435	0.0232834597368635
GSE245386	GSM7841724	MCAO	primary	Endothelial	C1qa	0.6753609687936641	0.6753609687936641	0.0088495575221238	2.156497438285953	0.3860076336826921	0.9138178218175508	0.0311910961511557
GSE174574	GSM5319987	Sham	primary	Endothelial	Lyz2	0.1675639300134593	0.1675639300134593	0.0	0.1850605652759089	3.850590456880128e-06	0.2724434853185105	1.5391375158421075e-05
GSE174574	GSM5319988	Sham	primary	Endothelial	Lyz2	0.2499999999999992	0.2499999999999992	0.0	0.2970588235294109	0.0404966827002178	0.4106126457578923	0.1194430462391263
GSE174574	GSM5319989	Sham	primary	Endothelial	Lyz2	0.2651469706058771	0.2651469706058771	0.0005998800239952	0.3173365326934594	0.0739073961091229	0.4336615361715624	0.1897036530630405
GSE174574	GSM5319990	MCAO	primary	Endothelial	Lyz2	0.4671086180520116	0.4671086180520116	0.0015298317185109	0.7021927587965288	0.0339998347068594	0.7861197306910147	0.0381084812209334
