config	allocation_id	discovery_allocation	validation_allocation	is_observed	metric	gate	n_candidates	n_nonzero_both	n_zero_discovery	n_zero_validation	n_same_direction	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
primary	97	9	7	False	custom_score	0.1	305	305	0	0	213	0.6983606557377049	0.6983606557377049	0.5551695924414203
primary	98	9	8	False	custom_score	0.1	307	307	0	0	148	0.4820846905537459	0.4820846905537459	-0.0164104467630442
primary	99	9	9	False	custom_score	0.1	318	318	0	0	229	0.720125786163522	0.720125786163522	0.656474705374625
primary	100	10	0	False	custom_score	0.1	317	317	0	0	228	0.7192429022082019	0.7192429022082019	0.6309934894987206
primary	101	10	1	False	custom_score	0.1	318	318	0	0	227	0.7138364779874213	0.7138364779874213	0.6323430577152648
primary	102	10	2	False	custom_score	0.1	307	307	0	0	122	0.3973941368078176	0.3973941368078176	-0.3264718171930519
primary	103	10	3	False	custom_score	0.1	307	307	0	0	176	0.5732899022801303	0.5732899022801303	0.0699672670303202
primary	104	10	4	False	custom_score	0.1	319	319	0	0	217	0.6802507836990596	0.6802507836990596	0.5701180668728314
primary	105	10	5	False	custom_score	0.1	306	306	0	0	95	0.3104575163398693	0.3104575163398693	-0.5989491106893184
primary	106	10	6	False	custom_score	0.1	306	306	0	0	159	0.5196078431372549	0.5196078431372549	0.048156964968681
primary	107	10	7	False	custom_score	0.1	305	305	0	0	92	0.3016393442622951	0.3016393442622951	-0.5551695924414203
primary	108	10	8	False	custom_score	0.1	307	307	0	0	159	0.5179153094462541	0.5179153094462541	0.0164104467630442
primary	109	10	9	False	custom_score	0.1	318	318	0	0	89	0.279874213836478	0.279874213836478	-0.656474705374625
primary	110	11	0	False	custom_score	0.1	313	313	0	0	231	0.7380191693290735	0.7380191693290735	0.6509963580067792
primary	111	11	1	False	custom_score	0.1	314	314	0	0	237	0.7547770700636943	0.7547770700636943	0.6648248654406255
primary	112	11	2	False	custom_score	0.1	303	303	0	0	152	0.5016501650165016	0.5016501650165016	-0.2382391746182249
primary	113	11	3	False	custom_score	0.1	303	303	0	0	178	0.5874587458745875	0.5874587458745875	0.1149637976637851
primary	114	11	4	False	custom_score	0.1	315	315	0	0	204	0.6476190476190476	0.6476190476190476	0.5311832258676331
primary	115	11	5	False	custom_score	0.1	302	302	0	0	86	0.2847682119205298	0.2847682119205298	-0.5939723998213721
primary	116	11	6	False	custom_score	0.1	302	302	0	0	130	0.4304635761589404	0.4304635761589404	-0.0378447027044689
primary	117	11	7	False	custom_score	0.1	301	301	0	0	107	0.3554817275747508	0.3554817275747508	-0.544626860713045
primary	118	11	8	False	custom_score	0.1	303	303	0	0	129	0.4257425742574257	0.4257425742574257	-0.0607809713903513
primary	119	11	9	False	custom_score	0.1	314	314	0	0	92	0.2929936305732484	0.2929936305732484	-0.6605153994221488
primary	120	12	0	False	custom_score	0.1	316	316	0	0	207	0.6550632911392406	0.6550632911392406	0.5596369595984355
primary	121	12	1	False	custom_score	0.1	318	318	0	0	208	0.6540880503144654	0.6540880503144654	0.5764981104644111
primary	122	12	2	False	custom_score	0.1	306	306	0	0	92	0.3006535947712418	0.3006535947712418	-0.515946361591026
primary	123	12	3	False	custom_score	0.1	307	307	0	0	153	0.498371335504886	0.498371335504886	-0.0663661219466422
primary	124	12	4	False	custom_score	0.1	318	318	0	0	234	0.7358490566037735	0.7358490566037735	0.6646855183619125
primary	125	12	5	False	custom_score	0.1	306	306	0	0	96	0.3137254901960784	0.3137254901960784	-0.5809287797588635
