Package	Version	archive_path	original_url	bytes	sha256	md5
reformulas	0.4.4	binaries/reformulas_0.4.4.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/reformulas_0.4.4.zip	161623	2ff8d8b420d10805d0e3d95de9eec39e227a507f647ccf2d8d52cb64f094d191	d6ab1efc5c8960fd5b5c5584f671a906
registry	0.5-1	binaries/registry_0.5-1.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/registry_0.5-1.zip	198058	914f74b7802681c56acf8d107567ba885577e595f27289bcc5087fa3b8a8b247	1567420d1572c430cec1c69a7157aeee
rngtools	1.5.2	binaries/rngtools_1.5.2.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/rngtools_1.5.2.zip	81190	db6ad915701ebad5c995b07e0d3020a2229251c45174cf9777ec7d374d56bbd9	fb2cdc0548779b2807a789bc1f4ec6c3
rstatix	1.1.0	binaries/rstatix_1.1.0.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/rstatix_1.1.0.zip	1082649	2f727744d6778e7eb11757139bf1b05865f148a5d9fb8c123398c7d4461304b5	cc0f39aefeaf3b8f21e677df0b358825
sna	2.8	binaries/sna_2.8.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/sna_2.8.zip	1296542	499e69c27a5876bdc8d79ea67d6550dff13edd886beb55036fea7d336e0b5d14	4e2a45b8febf8a8850adcae790c9bbdb
statnet.common	4.13.0	binaries/statnet.common_4.13.0.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/statnet.common_4.13.0.zip	347054	64bd1bd0c1c5cbc480130a20f372f0174256fa1f4cb03d1fad43fb3c4637b110	64103ba417bc48bc16093624f7359643
svglite	2.2.2	binaries/svglite_2.2.2.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/svglite_2.2.2.zip	732328	1e2f652c1a44fdae631e23c57debb1388260d08987232bd3b2bc718dc771c092	48fb7489e9886b4cf7914cdc2f5028e4
systemfonts	1.3.2	binaries/systemfonts_1.3.2.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/systemfonts_1.3.2.zip	2214901	ab8c096623ce4458c24ea0c9d78deaa8210e5a45aab40f1e4e2737c8a0d0021f	002a12b30ab24b44824a561bfd7f4d08
textshaping	1.0.5	binaries/textshaping_1.0.5.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/textshaping_1.0.5.zip	1575743	5171b927115e2da4f7545c6cb71a1cb3fb1949e259490cfa50ef82bd42273ce6	f95081943a5ac7e72ef1782bf10ac73a
timeDate	4052.112	binaries/timeDate_4052.112.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/timeDate_4052.112.zip	1497755	ad95b2dc7fdb48d117307c659e51785a6caf761f788437e8ec5c43e6d812c8ac	0d68bdb7f74edbdc8da13da344387f83
