dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319992	MCAO	primary	Endothelial	Col4a1	0.6076030927835032	0.6076030927835032	0.327319587628865	1.4168814432989647	1.3904084419870277	1.1126529357988388	1.1381801633258077
GSE174574	GSM5319992	MCAO	primary	Endothelial	Itga3	0.06314432989690713	0.06314432989690713	0.005798969072164949	0.0695876288659793	0.0673585232195384	0.07939509298487729	0.08108555645261419
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Slc1a2	0.9949622166246809	0.9949622166246809	0.9622166246851347	12.559193954659936	12.535752985688568	3.16339575442768	3.258815934176241
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Slc1a3	0.9773299748110791	0.9773299748110791	0.9546599496221625	10.743073047858926	10.724030424335934	3.0308406876738143	3.123438214815433
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Aldh1l1	0.4836272040302286	0.4836272040302286	0.15113350125944572	0.7229219143576824	0.719918020057158	0.6669180376283369	0.705246972120298
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Pecam1	0.09571788413098233	0.09571788413098233	0.0	0.11586901763224176	0.03176022112274005	0.11526122670690121	0.05225680587580566
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Cdh5	0.05289672544080606	0.05289672544080606	0.0	0.06549118387909321	0.013727690482863236	0.06246744260144445	0.02321830251636483
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Kdr	0.04030226700251889	0.04030226700251889	0.0	0.04534005037783375	0.019134793209605663	0.0488627530282392	0.030385039556063743
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Ptprc	0.05793450881612092	0.05793450881612092	0.0025188916876574307	0.06045340050377835	0.040017732116092344	0.06568204968150262	0.05337212540776059
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Tyrobp	0.41309823677581986	0.41309823677581986	0.04785894206549119	0.6423173803526452	0.23792083973453393	0.591047266898069	0.35039056983219713
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	C1qa	0.6977329974811078	0.6977329974811078	0.2166246851385388	1.4811083123425728	0.6129220540486818	1.1123241494648948	0.7554620833025562
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Lyz2	0.4483627204030242	0.4483627204030242	0.005037783375314861	0.6523929471032751	0.11507108777399266	0.6118497901596177	0.20311837091862567
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Spp1	0.9093198992443293	0.9093198992443293	0.4659949622166264	5.3879093198992205	1.137983494780074	1.782921341296513	1.1738907495371076
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Timp3	0.5566750629722935	0.5566750629722935	0.2367758186397982	0.9773299748110827	0.8588256042494294	0.8389189243825113	0.826084705455529
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Ptn	0.9118387909319867	0.9118387909319867	0.818639798488663	7.740554156171273	7.615495554426474	2.481261403967374	2.5480454144574582
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Plat	0.27707808564231734	0.27707808564231734	0.09068010075566747	0.566750629722922	0.31308577845981883	0.4098711510905267	0.33330899054067653
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Ptprz1	0.83123425692695	0.83123425692695	0.5717884130982379	2.2695214105793484	2.264593270161199	1.5252760991502334	1.5924985972659806
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	Lrp1	0.4231738035264497	0.4231738035264497	0.10579345088161203	0.5869017632241819	0.553543769866103	0.5836687399913878	0.5967476172573007
