dataset	sample	cell_type	config	gene	n_cells	fraction	mean_umi
GSE174574	GSM5319989	Astrocyte	primary	Kdr	463	0.12311015118790497	0.17062634989200864
GSE174574	GSM5319989	Astrocyte	primary	Ptprc	463	0.03023758099352052	0.03455723542116631
GSE174574	GSM5319989	Astrocyte	primary	Tyrobp	463	0.2958963282937365	0.6069114470842333
GSE174574	GSM5319989	Astrocyte	primary	Lyz2	463	0.30885529157667385	0.7170626349892009
GSE174574	GSM5319989	Astrocyte	primary	C1qa	463	0.6371490280777538	1.6220302375809936
GSE174574	GSM5319989	Astrocyte	primary	P2ry12	463	0.30669546436285094	0.572354211663067
GSE174574	GSM5319989	Astrocyte	primary	Tmem119	463	0.2505399568034557	0.4406047516198704
GSE174574	GSM5319989	Astrocyte	primary	Spp1	463	0.032397408207343416	0.032397408207343416
GSE174574	GSM5319989	Astrocyte	primary	Cd14	463	0.06479481641468683	0.09071274298056156
GSE174574	GSM5319989	Astrocyte	primary	Timp1	463	0.004319654427645789	0.004319654427645789
GSE174574	GSM5319989	Astrocyte	primary	Cd63	463	0.8682505399568035	4.976241900647948
GSE174574	GSM5319989	Astrocyte	primary	Ptn	463	0.9200863930885529	8.140388768898488
GSE174574	GSM5319989	Astrocyte	primary	Ptprb	463	0.21814254859611232	0.3650107991360691
GSE174574	GSM5319989	Astrocyte	primary	S1pr1	463	0.7624190064794817	1.9676025917926565
GSE174574	GSM5319989	Astrocyte	strict_identity	Aldh1l1	421	0.334916864608076	0.4085510688836104
GSE174574	GSM5319989	Astrocyte	strict_identity	Slc1a2	421	0.9453681710213777	8.332541567695962
GSE174574	GSM5319989	Astrocyte	strict_identity	Slc1a3	421	0.9548693586698337	9.389548693586699
GSE174574	GSM5319989	Astrocyte	strict_identity	Glul	421	0.9928741092636579	16.622327790973873
GSE174574	GSM5319989	Astrocyte	strict_identity	Sox9	421	0.6793349168646081	1.334916864608076
GSE174574	GSM5319989	Astrocyte	strict_identity	Pecam1	421	0.17339667458432304	0.2921615201900237
GSE174574	GSM5319989	Astrocyte	strict_identity	Cdh5	421	0.1377672209026128	0.16864608076009502
GSE174574	GSM5319989	Astrocyte	strict_identity	Kdr	421	0.11401425178147269	0.16389548693586697
GSE174574	GSM5319989	Astrocyte	strict_identity	Ptprc	421	0.030878859857482184	0.035629453681710214
GSE174574	GSM5319989	Astrocyte	strict_identity	Tyrobp	421	0.30641330166270786	0.6365795724465558
GSE174574	GSM5319989	Astrocyte	strict_identity	Lyz2	421	0.31116389548693585	0.7553444180522565
GSE174574	GSM5319989	Astrocyte	strict_identity	C1qa	421	0.6460807600950119	1.7054631828978621
GSE174574	GSM5319989	Astrocyte	strict_identity	P2ry12	421	0.31353919239904987	0.6057007125890737
GSE174574	GSM5319989	Astrocyte	strict_identity	Tmem119	421	0.2494061757719715	0.45605700712589076
GSE174574	GSM5319989	Astrocyte	strict_identity	Spp1	421	0.0332541567695962	0.0332541567695962
GSE174574	GSM5319989	Astrocyte	strict_identity	Cd14	421	0.0665083135391924	0.09501187648456057
GSE174574	GSM5319989	Astrocyte	strict_identity	Timp1	421	0.004750593824228029	0.004750593824228029
GSE174574	GSM5319989	Astrocyte	strict_identity	Cd63	421	0.9311163895486936	5.380047505938243
GSE174574	GSM5319989	Astrocyte	strict_identity	Ptn	421	0.9334916864608076	8.729216152019003
GSE174574	GSM5319989	Astrocyte	strict_identity	Ptprb	421	0.19239904988123516	0.32304038004750596
GSE174574	GSM5319989	Astrocyte	strict_identity	S1pr1	421	0.8028503562945368	2.0855106888361044
GSE174574	GSM5319989	Endothelial	primary	Aldh1l1	1667	0.003599280143971206	0.003599280143971206
GSE174574	GSM5319989	Endothelial	primary	Slc1a2	1667	0.06898620275944811	0.07318536292741452
GSE174574	GSM5319989	Endothelial	primary	Slc1a3	1667	0.06718656268746251	0.06898620275944811
GSE174574	GSM5319989	Endothelial	primary	Glul	1667	0.8398320335932813	3.904019196160768
GSE174574	GSM5319989	Endothelial	primary	Sox9	1667	0.04019196160767846	0.04559088182363527
GSE174574	GSM5319989	Endothelial	primary	Pecam1	1667	0.8074385122975405	1.5380923815236953
GSE174574	GSM5319989	Endothelial	primary	Cdh5	1667	0.6772645470905819	1.053989202159568
GSE174574	GSM5319989	Endothelial	primary	Kdr	1667	0.6628674265146971	1.0749850029994001
GSE174574	GSM5319989	Endothelial	primary	Ptprc	1667	0.016796640671865627	0.016796640671865627
GSE174574	GSM5319989	Endothelial	primary	Tyrobp	1667	0.22675464907018597	0.27234553089382124
GSE174574	GSM5319989	Endothelial	primary	Lyz2	1667	0.26514697060587883	0.3173365326934613
GSE174574	GSM5319989	Endothelial	primary	C1qa	1667	0.5032993401319736	0.7144571085782844
GSE174574	GSM5319989	Endothelial	primary	P2ry12	1667	0.22315536892621476	0.26514697060587883
GSE174574	GSM5319989	Endothelial	primary	Tmem119	1667	0.20695860827834434	0.235752849430114
GSE174574	GSM5319989	Endothelial	primary	Spp1	1667	0.01919616076784643	0.01919616076784643
GSE174574	GSM5319989	Endothelial	primary	Cd14	1667	0.04979004199160168	0.0617876424715057
GSE174574	GSM5319989	Endothelial	primary	Timp1	1667	0.010197960407918417	0.010797840431913617
GSE174574	GSM5319989	Endothelial	primary	Cd63	1667	0.16196760647870426	0.17816436712657469
GSE174574	GSM5319989	Endothelial	primary	Ptn	1667	0.7294541091781643	2.4259148170365927
GSE174574	GSM5319989	Endothelial	primary	Ptprb	1667	0.6742651469706059	1.4463107378524296
GSE174574	GSM5319989	Endothelial	primary	S1pr1	1667	0.5032993401319736	0.788242351529694
GSE174574	GSM5319989	Endothelial	strict_identity	Aldh1l1	900	0.0044444444444444444	0.0044444444444444444
GSE174574	GSM5319989	Endothelial	strict_identity	Slc1a2	900	0.06444444444444444	0.06777777777777778
GSE174574	GSM5319989	Endothelial	strict_identity	Slc1a3	900	0.06444444444444444	0.06666666666666667
GSE174574	GSM5319989	Endothelial	strict_identity	Glul	900	0.84	3.67
GSE174574	GSM5319989	Endothelial	strict_identity	Sox9	900	0.04555555555555556	0.05444444444444444
GSE174574	GSM5319989	Endothelial	strict_identity	Pecam1	900	0.83	1.6755555555555555
GSE174574	GSM5319989	Endothelial	strict_identity	Cdh5	900	0.7277777777777777	1.191111111111111
GSE174574	GSM5319989	Endothelial	strict_identity	Kdr	900	0.7277777777777777	1.2522222222222221
GSE174574	GSM5319989	Endothelial	strict_identity	Ptprc	900	0.01888888888888889	0.01888888888888889
GSE174574	GSM5319989	Endothelial	strict_identity	Tyrobp	900	0.24	0.2877777777777778
GSE174574	GSM5319989	Endothelial	strict_identity	Lyz2	900	0.2811111111111111	0.3422222222222222
GSE174574	GSM5319989	Endothelial	strict_identity	C1qa	900	0.49666666666666665	0.7188888888888889
GSE174574	GSM5319989	Endothelial	strict_identity	P2ry12	900	0.23555555555555555	0.27555555555555555
GSE174574	GSM5319989	Endothelial	strict_identity	Tmem119	900	0.21666666666666667	0.25222222222222224
GSE174574	GSM5319989	Endothelial	strict_identity	Spp1	900	0.01888888888888889	0.01888888888888889
GSE174574	GSM5319989	Endothelial	strict_identity	Cd14	900	0.058888888888888886	0.07222222222222222
GSE174574	GSM5319989	Endothelial	strict_identity	Timp1	900	0.013333333333333334	0.014444444444444444
GSE174574	GSM5319989	Endothelial	strict_identity	Cd63	900	0.16666666666666666	0.18222222222222223
GSE174574	GSM5319989	Endothelial	strict_identity	Ptn	900	0.7288888888888889	2.4944444444444445
GSE174574	GSM5319989	Endothelial	strict_identity	Ptprb	900	0.6877777777777778	1.5811111111111111
