Package	Version	LibPath	Built	Priority	RemoteSha
MatrixGenerics	1.24.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-04-29 11:26:40 UTC; windows		df689091cb9c520a1a0dd205daca647a23bc415b
QuickJSR	1.11.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:57:27 UTC; windows		
R6	2.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:01 UTC; windows		
RANN	2.6.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:07 UTC; windows		
RColorBrewer	1.1-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:46:07 UTC; windows		
ROCR	1.0-12	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:56:44 UTC; windows		
RSpectra	0.16-2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:22:20 UTC; windows		
Rcpp	1.1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:07 UTC; windows		
RcppAnnoy	0.0.23	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:59:56 UTC; windows		
RcppArmadillo	15.6.0-1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:59 UTC; windows		
RcppEigen	0.3.4.0.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:58 UTC; windows		
RcppHNSW	0.7.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:00:03 UTC; windows		
RcppML	0.3.7.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:58:09 UTC; windows		
RcppParallel	6.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:53 UTC; windows		
RcppProgress	0.4.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:41 UTC; windows		
RcppTOML	0.2.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:36 UTC; windows		
Rtsne	0.17	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:00:00 UTC; windows		
S4Arrays	1.12.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 11:28:31 UTC; windows		b1246fd0b81ac137623ee1c0d6587a59e8ad1073
S4Vectors	0.50.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-20 20:13:31 UTC; windows		9bd354f3a5b9fd19f549b472e24518328aa2abf3
S7	0.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
ScaledMatrix	1.20.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-04-29 13:53:54 UTC; windows		94df0ea72694e0403c34536ec15ffb459d70662f
Seqinfo	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-05-04 08:56:19 UTC; windows		345dd61b77c8ff7e90ecc587d7b32c4d7189f690
Seurat	5.5.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 04:15:51 UTC; windows		
SeuratObject	5.4.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:24:14 UTC; windows		
SingleCellExperiment	1.34.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-04-29 15:26:55 UTC; windows		f92b7823acc328c8b65259d38ada6ce401bd80cb
