"source_genesymbol","target_genesymbol","resource"
"Dsc2","Dsg3","mouseconsensus"
"Dsc2","Dsg4","mouseconsensus"
"Dsc1","Dsg3","mouseconsensus"
"Dsc1","Dsg4","mouseconsensus"
"Cd47","Sirpa","mouseconsensus"
"Cntn1","Ptprz1","mouseconsensus"
"Cntn1","Notch1","mouseconsensus"
"Cntn1","Notch2","mouseconsensus"
"Cntn1","Nrcam","mouseconsensus"
"Adam9","Itgb1","mouseconsensus"
"Adam9","Itgav","mouseconsensus"
"Adam9","Itgb5","mouseconsensus"
"Adam9","Itga6","mouseconsensus"
"Adam9","Itga3","mouseconsensus"
"Adam15","Itgb3","mouseconsensus"
"Adam15","Itgb1","mouseconsensus"
"Adam15","Itgav","mouseconsensus"
"Adam15","Itga5","mouseconsensus"
"Adam15","Itga9","mouseconsensus"
"Sema5a","Met","mouseconsensus"
"Sema5a","Plxna3","mouseconsensus"
"Sema5a","Plxna1","mouseconsensus"
"Sema5a","Plxnb3","mouseconsensus"
"Alcam","Chl1","mouseconsensus"
"Alcam","Nrp1","mouseconsensus"
"Alcam","Cd6","mouseconsensus"
"Dsg2","Dsc1","mouseconsensus"
"Dsg2","Dsc3","mouseconsensus"
"Selplg","Itgb2","mouseconsensus"
"Selplg","Itgam","mouseconsensus"
"Selplg","Sell","mouseconsensus"
"Selplg","Selp","mouseconsensus"
"Dsc3","Dsg3","mouseconsensus"
"Dsc3","Dsg4","mouseconsensus"
"Icam4","Itgb3","mouseconsensus"
"Icam4","Itgb2","mouseconsensus"
"Icam4","Itgb1","mouseconsensus"
"Icam4","Itgav","mouseconsensus"
"Icam4","Itga2b","mouseconsensus"
"Icam4","Itgam","mouseconsensus"
"Icam4","Itga4","mouseconsensus"
"Icam4","Itgal","mouseconsensus"
"Efnb3","Ephb6","mouseconsensus"
"Efnb3","Ephb2","mouseconsensus"
"Efnb3","Ephb3","mouseconsensus"
"Efnb3","Ephb4","mouseconsensus"
"Efnb3","Ephb1","mouseconsensus"
"Efnb3","Epha4","mouseconsensus"
"Ntrk3","Ptprf","mouseconsensus"
"Ntrk3","Ptprs","mouseconsensus"
"H2-Eb1","Cd4","mouseconsensus"
"H2-Eb1","Lag3","mouseconsensus"
"Col13a1","Itga10_Itgb1","mouseconsensus"
"Col13a1","Itga2_Itgb1","mouseconsensus"
"Col13a1","Itga1_Itgb1","mouseconsensus"
"Col13a1","Itga11_Itgb1","mouseconsensus"
"Cspg4","Itga3_Itgb1","mouseconsensus"
"Epgn","Egfr","mouseconsensus"
"Dlk2","Notch1","mouseconsensus"
"Btla","Cd79a","mouseconsensus"
"Btla","Cd247","mouseconsensus"
"Btla","Tnfrsf14","mouseconsensus"
"Pdpn","Clec1b","mouseconsensus"
"Cntn4","Ptprg","mouseconsensus"
"Nlgn1","Nrxn1","mouseconsensus"
"Nlgn1","Nrxn2","mouseconsensus"
"Cd177","Pecam1","mouseconsensus"
"Sema6d","Plxna1_Trem2_Tyrobp","mouseconsensus"
"Sema6d","Kdr_Plxna1","mouseconsensus"
"Nlgn2","Nrxn1","mouseconsensus"
"Nlgn2","Nrxn2","mouseconsensus"
"Cd200r1","Cd200","mouseconsensus"
"Sectm1a","Cd7","mouseconsensus"
"Nrg4","Erbb2_Erbb4","mouseconsensus"
"Nrg4","Egfr","mouseconsensus"
"Sema4d","Plxnb2","mouseconsensus"
"Sema4d","Plxnb1","mouseconsensus"
"Sema4d","Erbb2","mouseconsensus"
"Sema4d","Met","mouseconsensus"
"Sema4d","Plxnb3","mouseconsensus"
"Slitrk1","Ptprs","mouseconsensus"
"Adam2","Itgb1","mouseconsensus"
"Adam2","Itga6","mouseconsensus"
"Adam2","Itgb7","mouseconsensus"
"Adam2","Itga9","mouseconsensus"
"Pdcd1lg2","Pdcd1","mouseconsensus"
"Jam3","Itgam_Itgb2","mouseconsensus"
"Jam3","Itgb1","mouseconsensus"
"Sema4c","Plxnb2","mouseconsensus"
"Slitrk2","Ptprs","mouseconsensus"
"Sema6a","Plxna2","mouseconsensus"
"Sema6a","Plxna4","mouseconsensus"
"Adam7","Itga4","mouseconsensus"
"Adam7","Itgb7","mouseconsensus"
"Sema4a","Nrp1_Plxna2","mouseconsensus"
"Sema4a","Nrp1_Plxna3","mouseconsensus"
"Sema4a","Nrp1_Plxna4","mouseconsensus"
"Sema4a","Nrp1_Plxna1","mouseconsensus"
"Sema4a","Plxnb2","mouseconsensus"
"Sema4a","Plxnb1","mouseconsensus"
"Sema4a","Plxnb3","mouseconsensus"
"Sema4a","Plxnd1","mouseconsensus"
"Sema6b","Plxna2","mouseconsensus"
"Sema6b","Plxna4","mouseconsensus"
"Slitrk6","Ptprs","mouseconsensus"
"Sema4b","Dcbld2","mouseconsensus"
"Dll4","Notch1","mouseconsensus"
"Dll4","Notch2","mouseconsensus"
"Dll4","Notch4","mouseconsensus"
"Dll4","Notch3","mouseconsensus"
"Pdgfc","Pdgfrb","mouseconsensus"
"Pdgfc","Pdgfra","mouseconsensus"
"Pdgfc","Flt1","mouseconsensus"
"Pdgfc","Flt4","mouseconsensus"
"Pdgfc","Kdr","mouseconsensus"
"Lrrc4b","Ptprf","mouseconsensus"
"Lrrc4b","Ptprs","mouseconsensus"
"Sema4g","Plxnb2","mouseconsensus"
"Dll3","Notch1","mouseconsensus"
"Dll3","Notch2","mouseconsensus"
"Dll3","Notch4","mouseconsensus"
"Dll3","Notch3","mouseconsensus"
"Podxl2","Sell","mouseconsensus"
"Nlgn3","Nrxn1","mouseconsensus"
"Nlgn3","Nrxn2","mouseconsensus"
"Il1rapl1","Ptprf","mouseconsensus"
"Il1rapl1","Ptprs","mouseconsensus"
"Cd274","Cd80","mouseconsensus"
"Cd274","Pdcd1","mouseconsensus"
"Clec1b","Pdpn","mouseconsensus"
"Sema5b","Plxna3","mouseconsensus"
"Sema5b","Plxna1","mouseconsensus"
"Cklf","Lrp6","mouseconsensus"
"Cklf","Ccr4","mouseconsensus"
"Kl","Fgfr1","mouseconsensus"
"Adam29","Itga4","mouseconsensus"
"Adam28","Itga4","mouseconsensus"
"Icam5","Itgb2","mouseconsensus"
"Icam5","Itgal","mouseconsensus"
"Tnfsf18","Tnfrsf18","mouseconsensus"
"Jag2","Notch1","mouseconsensus"
"Jag2","Notch2","mouseconsensus"
"Jag2","Notch4","mouseconsensus"
"Jag2","Notch3","mouseconsensus"
"Tnfsf13b","Tnfrsf13b","mouseconsensus"
"Tnfsf13b","Tfrc","mouseconsensus"
"Tnfsf13b","Cd40","mouseconsensus"
"Tnfsf13b","Tnfrsf17","mouseconsensus"
"Tnfsf13b","Tnfrsf13c","mouseconsensus"
"F11r","Itgal_Itgb2","mouseconsensus"
"Col6a6","Itga10_Itgb1","mouseconsensus"
"Col6a6","Itga2_Itgb1","mouseconsensus"
"Col6a6","Itga3_Itgb1","mouseconsensus"
"Col6a6","Itga1_Itgb1","mouseconsensus"
"Col6a6","Itga9_Itgb1","mouseconsensus"
"Col6a6","Itga11_Itgb1","mouseconsensus"
"Col6a6","Itgav_Itgb8","mouseconsensus"
"Col6a6","Cd44","mouseconsensus"
"Col6a6","Sdc1","mouseconsensus"
"Col6a6","Gp6","mouseconsensus"
"Col6a5","Itga10_Itgb1","mouseconsensus"
"Col6a5","Itga2_Itgb1","mouseconsensus"
"Col6a5","Itga3_Itgb1","mouseconsensus"
"Col6a5","Itga1_Itgb1","mouseconsensus"
"Col6a5","Itga9_Itgb1","mouseconsensus"
"Col6a5","Itga11_Itgb1","mouseconsensus"
"Col6a5","Itgav_Itgb8","mouseconsensus"
"Col6a5","Cd44","mouseconsensus"
"Col6a5","Sdc1","mouseconsensus"
"Col6a5","Gp6","mouseconsensus"
"Fras1_Frem1_Npnt","Itga8_Itgb1","mouseconsensus"
"Fras1_Frem2_Npnt","Itga8_Itgb1","mouseconsensus"
"Agrn","Musk","mouseconsensus"
"Agrn","Lrp4","mouseconsensus"
"Agrn","Itgb1","mouseconsensus"
"Agrn","Lrp2","mouseconsensus"
"Agrn","Lrp1","mouseconsensus"
"Agrn","Dag1","mouseconsensus"
"Lama5","Itga2_Itgb1","mouseconsensus"
"Lama5","Itga6_Itgb1","mouseconsensus"
"Lama5","Itga3_Itgb1","mouseconsensus"
"Lama5","Itga7_Itgb1","mouseconsensus"
"Lama5","Itga9_Itgb1","mouseconsensus"
"Lama5","Itgav_Itgb8","mouseconsensus"
"Lama5","Itga6_Itgb4","mouseconsensus"
"Lama5","Cd44","mouseconsensus"
"Lama5","Sdc1","mouseconsensus"
"Lama5","Bcam","mouseconsensus"
"Lama5","Dag1","mouseconsensus"
"Chad","Itga2_Itgb1","mouseconsensus"
"Col1a1","Itga10_Itgb1","mouseconsensus"
"Col1a1","Itga2_Itgb1","mouseconsensus"
"Col1a1","Itga3_Itgb1","mouseconsensus"
"Col1a1","Itga1_Itgb1","mouseconsensus"
"Col1a1","Itga9_Itgb1","mouseconsensus"
"Col1a1","Itga11_Itgb1","mouseconsensus"
"Col1a1","Itgav_Itgb8","mouseconsensus"
"Col1a1","Itga5","mouseconsensus"
"Col1a1","Cd44","mouseconsensus"
"Col1a1","Cd36","mouseconsensus"
"Col1a1","Sdc1","mouseconsensus"
"Col1a1","Flt4","mouseconsensus"
"Col1a1","Ddr1","mouseconsensus"
"Col1a1","Ddr2","mouseconsensus"
"Col1a1","Gp6","mouseconsensus"
"Col1a1","Cd93","mouseconsensus"
"Col2a1","Itga10_Itgb1","mouseconsensus"
"Col2a1","Itga2_Itgb1","mouseconsensus"
"Col2a1","Itga3_Itgb1","mouseconsensus"
