dataset	sample	condition	sample_alias	reference	original_label	reference_label	n_cells
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Choroid	Neuron/Other	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Choroid	Oligodendrocyte	23
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Endothelial	Endothelial	1358
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Endothelial	Microglia/Macrophage	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Endothelial	Oligodendrocyte	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Ependymal	Astrocyte	52
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Ependymal	Endothelial	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Ependymal	Microglia/Macrophage	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Ependymal	Oligodendrocyte	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Erythroid	Astrocyte	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Erythroid	Endothelial	8
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Erythroid	Microglia/Macrophage	5
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Fibroblast	Astrocyte	2
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Fibroblast	Endothelial	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Fibroblast	Fibroblast	58
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Fibroblast	Microglia/Macrophage	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Fibroblast	Mural	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Lymphocyte	Endothelial	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Lymphocyte	Microglia/Macrophage	21
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Lymphocyte	Neuron/Other	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Lymphocyte	Oligodendrocyte	2
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Microglia	Endothelial	16
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Microglia	Microglia/Macrophage	1257
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Microglia	Oligodendrocyte	2
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Myeloid	Endothelial	13
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Myeloid	Microglia/Macrophage	390
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Neuron	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Neuron	Neuron/Other	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Neutrophil	Endothelial	65
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Neutrophil	Microglia/Macrophage	40
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Neutrophil	Oligodendrocyte	5
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	OPC	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Oligodendrocyte	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Oligodendrocyte	Endothelial	59
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Oligodendrocyte	Oligodendrocyte	174
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Pericyte	Endothelial	29
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Pericyte	Microglia/Macrophage	3
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Pericyte	Mural	82
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Pericyte	Neuron/Other	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Smooth_muscle	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Smooth_muscle	Endothelial	33
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Smooth_muscle	Microglia/Macrophage	5
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Smooth_muscle	Mural	333
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Smooth_muscle	Oligodendrocyte	2
