dataset	config	panel	gene	tested	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GSE174574	reference_singlet	BBB_junction	Tjp2	True	191.9807073390409	-0.3005704872202602	0.1360135245160948	-2.209857352712691	0.0271150638430764	0.087826901700521
GSE174574	reference_singlet	BBB_transport	Mfsd2a	True	974.4584603215088	-0.7637461024997503	0.0802928385105449	-9.512007753959857	1.870175783208211e-21	8.481663612752381e-20
GSE174574	reference_singlet	BBB_transport	Slc2a1	True	12496.11068122462	0.3595315855413244	0.0517740260584692	6.944246235270554	3.804863492892888e-12	7.951880755109353e-11
GSE174574	reference_singlet	BBB_transport	Slco1c1	True	3309.810343353855	-0.6687620467694039	0.0542328297906613	-12.33131388037144	6.143671298919556e-35	5.213742870492188e-33
GSE174574	reference_singlet	BBB_transport	Abcb1a	True	2624.4064062710854	-0.920293378907762	0.1828150263773772	-5.034013872623576	4.803148900235864e-07	5.434835755600216e-06
GSE174574	reference_singlet	BBB_transport	Abcb1b	True	17.259556707166748	2.3807064461156267	0.5045620892595021	4.718361717602612	2.377514898908401e-06	2.401525869934347e-05
GSE174574	reference_singlet	BBB_transport	Abcg2	True	4538.159573236372	-0.496315690848301	0.0526052270239441	-9.434721964461726	3.9203256846127915e-21	1.6955786995765442e-19
GSE174574	reference_singlet	Endothelial_activation	Icam1	True	442.8411067740188	0.9053132552794836	0.1973795104186487	4.586662786625031	4.503872541891566e-06	4.338123836136658e-05
GSE174574	reference_singlet	Endothelial_activation	Vcam1	True	913.0957250422854	0.027301132063284	0.0831537417126889	0.3283211494873473	0.7426688547055578	0.8602260630223391
GSE174574	reference_singlet	Endothelial_activation	Sele	True	9.673349123883623	2.7174613841488986	0.7179967695191676	3.7847821877649177	0.0001538432578763	0.001057271272841
GSE174574	reference_singlet	Endothelial_activation	Selp	True	38.9947693513648	4.68009053695966	0.5607863481615785	8.345585716026013	7.086180251958769e-17	2.2235123580516e-15
GSE174574	reference_singlet	Endothelial_activation	Ccl2	True	254.7335152135565	2.840937643060202	0.1558291142329269	18.23110948839564	2.9233000407632494e-74	8.186701764157479e-72
GSE174574	reference_singlet	Endothelial_activation	Cxcl10	True	62.502040839568735	2.931459121159832	0.4500292147102459	6.513930707914751	7.320927900267933e-11	1.364543000645614e-09
GSE174574	reference_singlet	Angiogenesis_associated	Apln	True	63.718674311351855	2.9060071619038284	0.2908061747765685	9.992934861636154	1.636629382899544e-23	8.60728748696746e-22
GSE174574	reference_singlet	Angiogenesis_associated	Esm1	True	31.29762705986646	0.2795003901897356	0.7313319625271211	0.3821799189849719	0.7023279156929599	0.8350113894706578
GSE174574	reference_singlet	Angiogenesis_associated	Dll4	True	209.3660875099772	0.3154383471893718	0.129046092849164	2.4443851047708427	0.0145099289337653	0.0535199947039972
GSE174574	reference_singlet	Angiogenesis_associated	Angpt2	True	258.25613974582075	2.6675064529609607	0.1549673306147756	17.213347112443728	2.1088301191359185e-66	4.4571915084076525e-64
GSE174574	reference_singlet	Angiogenesis_associated	Pgf	True	20.17137547476021	1.6936646024557187	0.4606417286845297	3.676750274649182	0.0002362240873243	0.0015402690490147
GSE174574	reference_singlet	Angiogenesis_associated	Flt1	True	8168.321157730531	-0.3257067099430957	0.051713598786038	-6.298279709572872	3.0096705945636623e-10	5.19481201853654e-09
GSE174574	reference_only	BBB_junction	Cldn5	True	57403.88633123162	-0.0458515213639736	0.0480105235980442	-0.9550306459444958	0.3395621994121216	0.4971979169136594
GSE174574	reference_only	BBB_junction	Ocln	True	3985.4672893729953	-0.3654782179828192	0.0546519912949033	-6.687372396198531	2.272131764434612e-11	2.9546991169677137e-10
GSE174574	reference_only	BBB_junction	Tjp1	True	2205.5341520708685	-0.7009335478158766	0.0564284369596355	-12.421636777167317	1.9943889845613207e-35	1.0606978402828012e-33
GSE174574	reference_only	BBB_junction	Tjp2	True	455.7538260430533	-0.3045824094250232	0.1023488828410206	-2.9759231461093107	0.0029210805584243	0.0107716434517354
GSE174574	reference_only	BBB_transport	Mfsd2a	True	2525.1114727473264	-0.7288103276014535	0.0610240289173159	-11.943005739410449	7.062406134015774e-33	3.3001886903632827e-31
GSE174574	reference_only	BBB_transport	Slc2a1	True	30515.909423592908	0.3601324815587289	0.0503047551345512	7.1590147014029695	8.125897266284263e-13	1.2384685869513102e-11
GSE174574	reference_only	BBB_transport	Slco1c1	True	8204.235418368766	-0.6281014097533676	0.0486993108430059	-12.897542057180337	4.6468338693696844e-38	2.7861276091300977e-36
GSE174574	reference_only	BBB_transport	Abcb1a	True	6299.599131827912	-0.8783295110673477	0.2017889300229038	-4.352714051101088	1.3446248212710312e-05	8.494794285872802e-05
GSE174574	reference_only	BBB_transport	Abcb1b	True	37.00289489787016	2.2964685619576817	0.3482911256891893	6.59353165376663	4.2948513188870193e-11	5.475612348482737e-10
GSE174574	reference_only	BBB_transport	Abcg2	True	11231.82326679661	-0.4652756163854074	0.0459519774268348	-10.12525776776904	4.268525310765724e-24	1.3463331321375464e-22
GSE174574	reference_only	Endothelial_activation	Icam1	True	929.799552374319	0.9941890964528132	0.094084897670684	10.566936044642086	4.241253771056081e-26	1.5101001872239176e-24
GSE174574	reference_only	Endothelial_activation	Vcam1	True	1663.8803558986012	0.2707493173527015	0.0712303072923054	3.801040984445518	0.0001440894641566	0.0007466454051755
