sender	receiver	ligand	receptor	dataset	config	eligible_05	eligible_10	eligible_20	mean_control_score	mean_stroke_score	score_difference	welch_p	exact_permutation_p	ligand_mean_log2fc	receptor_mean_log2fc	ligand_min_padj	receptor_min_padj	ligand_any_changed	receptor_any_changed	candidate_changed_component	ligand_min_detection_stroke	receptor_min_detection_stroke	welch_fdr	welch_fdr_eligible_05	welch_fdr_eligible_10	welch_fdr_eligible_20	status
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	True	True	True	1.2481449453584783	0.8417562153871725	-0.406388729971306	0.0367108081513406	0.1	-0.7911851650517524	-1.0426486355109474	0.0317707057924957	2.213267806587157e-17	True	True	True	0.58068552141527	0.6764619131136049		0.3316738623636964	0.3047326883201029	0.2959226570625264	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	True	True	True	2.22201447508199	1.088601672173708	-1.133412802908282	0.0914264532064561	0.1	-3.107974134547109	-0.37119535709498	1.1891106904755533e-17	0.4190474971429852	True	False	True	0.4377103065002851	0.8435172253258846		0.4226386231942292	0.3807552537866976	0.3443991350453551	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	True	True	True	0.986735231208466	1.3763597310066031	0.389624499798137	0.018230237911317	0.1	0.9497380699391004	0.6101579583740807	8.970550800886093e-15	0.1705920620167662	True	False	True	0.8875399844869059	0.6289377715704532		0.2970308805889282	0.2736217697993153	0.2537250874878106	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	True	True	False	0.0374836346417061	0.2716588254552697	0.2341751908135635	0.3346260382637714	0.1	6.859187773931327	0.2074372413479165	2.1065544192432425e-05	0.1148195076493986	True	False	True	0.2784082091868404	0.2666876603696447		0.6239893134428552	0.5641348592738433		eligible_10pct
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	True	True	True	0.0978886156542575	0.2986236171073307	0.2007350014530731	5.795427704871695e-06	0.1	1.72979484455363	0.9947496746258648	1.9257667792547023e-08	5.286725506644464e-27	True	True	True	0.3527797175667287	0.2650728798071224		0.0068501955471583	0.0043175936401294	0.0024224887806363	eligible_10pct
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	singlet	True	True	True	1.253031546807116	0.8438364018942313	-0.4091951449128848	0.0350701770201451	0.1	-0.8053418705484466	-1.038593401172944	0.0365338650343492	2.5379668258624267e-16	True	True	True	0.5738338192419825	0.6748530409156659		0.3519431923968552	0.3294104791119857	0.3133444077234711	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	singlet	True	True	True	2.2303636919634884	1.0939480006947382	-1.1364156912687502	0.0906349438314468	0.1	-3.100698031544978	-0.35693821857099	8.728043607203427e-17	0.5226014798899046	True	False	True	0.4370141227169875	0.839868804664723		0.4535566350863046	0.4016846715294256	0.3533963787084547	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	singlet	True	True	True	0.9845764817609184	1.372812457773113	0.3882359760121946	0.0160338255119285	0.1	0.9597850957591284	0.6126503125994179	4.8248533004445536e-15	0.2190187388495948	True	False	True	0.8868264400309703	0.6187317784256561		0.3059731497345142	0.2605303361745293	0.2356657962875244	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	singlet	True	False	False	0.0376585752029316	0.264445846781123	0.2267872715781914	0.336011408752509	0.1	6.184125131468183	0.2010147778044629	3.828751734862762e-05	0.125182731473095	True	False	True	0.2727769679300291	0.263133646637977		0.6224374601499303			fails_10pct_gate
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	singlet	True	True	True	0.0976654882074616	0.2955948713653459	0.1979293831578843	0.0001041736472618	0.1	1.6696972159954862	0.9903591626900268	3.633627093430178e-07	1.8964544417134976e-26	True	True	True	0.3462463556851312	0.2640854445384758		0.0927906135710623	0.058423719655854	0.033630460474168	eligible_10pct
