dataset	sample	cell_type	selection	n_cells	gene	fraction_detected	mean_logcp10k
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Ptprc	0.011194029850746268	0.01357405456726486
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Tyrobp	0.29850746268656714	0.4503297872115381
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Lyz2	0.2835820895522388	0.43130623114915706
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	C1qa	0.6007462686567164	1.025756523552217
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Rgs5	0.041044776119402986	0.05772279367572835
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Pdgfrb	0.21641791044776118	0.3330241310837799
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Acta2	0.27238805970149255	0.39670318195759513
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Plp1	0.40298507462686567	0.637550136765624
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Mbp	0.1417910447761194	0.21113412036073487
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Snap25	0.0037313432835820895	0.0032177512455651355
GSE174574	GSM5319988	Astrocyte	reference_added	10	Aldh1l1	0.0	0.0
GSE174574	GSM5319988	Astrocyte	reference_added	10	Slc1a3	0.6	1.3818372702125883
GSE174574	GSM5319988	Astrocyte	reference_added	10	Slc1a2	0.4	0.7665610733303678
GSE174574	GSM5319988	Astrocyte	reference_added	10	Gja1	0.4	0.7198173937231501
GSE174574	GSM5319988	Astrocyte	reference_added	10	Glul	1.0	2.3003734181397917
GSE174574	GSM5319988	Astrocyte	reference_added	10	Sox9	0.2	0.303953753669076
GSE174574	GSM5319988	Astrocyte	reference_added	10	Aldoc	0.8	1.8426543130218473
GSE174574	GSM5319988	Astrocyte	reference_added	10	Pecam1	0.1	0.16014065391244123
GSE174574	GSM5319988	Astrocyte	reference_added	10	Cdh5	0.0	0.0
GSE174574	GSM5319988	Astrocyte	reference_added	10	Esam	0.2	0.22105287595716033
GSE174574	GSM5319988	Astrocyte	reference_added	10	Tek	0.1	0.06881351362242119
GSE174574	GSM5319988	Astrocyte	reference_added	10	Erg	0.1	0.1091923964947287
GSE174574	GSM5319988	Astrocyte	reference_added	10	Vwf	0.2	0.247160955391816
GSE174574	GSM5319988	Astrocyte	reference_added	10	Kdr	0.1	0.1064730392561343
GSE174574	GSM5319988	Astrocyte	reference_added	10	Ptprc	0.0	0.0
GSE174574	GSM5319988	Astrocyte	reference_added	10	Tyrobp	0.4	1.234205596984984
GSE174574	GSM5319988	Astrocyte	reference_added	10	Lyz2	0.5	0.9662485891386886
GSE174574	GSM5319988	Astrocyte	reference_added	10	C1qa	0.7	1.5842795416248914
GSE174574	GSM5319988	Astrocyte	reference_added	10	Rgs5	0.1	0.10470075163151067
GSE174574	GSM5319988	Astrocyte	reference_added	10	Pdgfrb	0.0	0.0
GSE174574	GSM5319988	Astrocyte	reference_added	10	Acta2	0.3	0.5256796322126343
GSE174574	GSM5319988	Astrocyte	reference_added	10	Plp1	0.4	0.5102150388951194
GSE174574	GSM5319988	Astrocyte	reference_added	10	Mbp	0.1	0.10470075163151067
GSE174574	GSM5319988	Astrocyte	reference_added	10	Snap25	0.0	0.0
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Aldh1l1	0.2647058823529412	0.4100061948366585
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Slc1a3	0.6372549019607843	1.7671801584786924
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Slc1a2	0.6176470588235294	1.48980361776594
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Gja1	0.7843137254901961	1.683051676126293
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Glul	0.9509803921568627	2.9250455468034446
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Sox9	0.5490196078431373	0.9929314502666846
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Aldoc	0.6470588235294118	2.031348406890681
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Pecam1	0.3235294117647059	0.650798169847555
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Cdh5	0.16666666666666666	0.29173109930262187
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Esam	0.6372549019607843	1.373575547754142
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Tek	0.17647058823529413	0.3001719798599069
GSE174574	GSM5319988	Astrocyte	original_not_retained	102	Erg	0.11764705882352941	0.18570388853427278
