sender	receiver	ligand	receptor	dataset	config	sample	condition	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	expression_eligible	magnitude_priority	status	reported_eligible
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	GSM7841720	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	GSM7841720	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	GSM7841721	Sham	1.3149152	0.0	1.6824007	0.9205580803822716	1.348686717920751	0.05155989	0.9047204	0.0141757187792275	0.030884508559796	True	0.969115491440204	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	GSM7841721	Sham	2.3644936	0.0	5.496432	1.724649361286158	2.08241372179258	0.049449325	0.9449427	0.011225655317957	6.893270462829454e-05	True	0.9999310672953717	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	GSM7841721	Sham	1.1043088	0.0	1.0881906	0.7634398362826231	1.365968053371246	0.024608497	0.8842143	0.0141757187792275	0.0872789939717656	True	0.9127210060282344	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	GSM7841721	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	GSM7841721	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	GSM7841722	Sham	1.356198	0.0	1.82826	0.784422692817942	1.225546862608302	0.050236385	0.90825015	0.0150826272045243	0.0282261481127389	True	0.9717738518872611	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	GSM7841722	Sham	2.2669978	0.0	5.1150537	1.886612877529636	2.0373409273155483	0.050638925	0.9430457	0.01187570640256	0.0002651059764252	True	0.9997348940235748	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	GSM7841722	Sham	1.0968325	0.0	1.0720192	0.639429743354077	1.2266633391325783	0.021717167	0.8834529	0.0150826272045243	0.1001324389549771	True	0.8998675610450229	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	GSM7841722	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	GSM7841722	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	GSM7841723	MCAO	0.77816635	0.0	0.5906887	0.4219178818754815	0.4019275337168125	0.0223101	0.84735507	0.0230009149009917	0.3879895027790656	True	0.6120104972209344	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	GSM7841723	MCAO	1.1712023	0.0	0.74531394	1.6156730482379107	0.635458377993928	0.011102507	0.8617931	0.0416326699364503	0.0672565803118391	True	0.9327434196881609	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	GSM7841723	MCAO	1.5482533	0.0	2.0423841	0.8376824153125568	1.575928949430085	0.02453932	0.91167796	0.0119651174850187	0.0062936808059555	True	0.9937063191940445	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	GSM7841723	MCAO	0.42773128	1.0	0.16616514	-0.1753853218432619	-0.8591239815713306	0.0036578882	0.7464659	1.0	0.6580353089216219	True	0.3419646910783781	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	GSM7841723	MCAO	0.3014115	1.0	0.08952181	0.0283164348952113	-0.4420806553988778	0.008246112	0.6836511	1.0	0.8364609151244689	True	0.16353908487553115	reported_expression_eligible	True
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	GSM7841724	MCAO	0.915508	0.0	0.83713347	0.6169327022387018	0.5105157764943986	0.031701867	0.8688239	0.0170100610664923	0.2575230182760284	True	0.7424769817239716	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	GSM7841724	MCAO	1.6239532	0.0	1.7262998	1.1848872611169754	0.6909441525808449	0.014703666	0.90486383	0.0320979507160322	0.0078970360261049	True	0.9921029639738951	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	GSM7841724	MCAO	1.4501996	0.0	1.7519132	0.8847392202025608	1.4282482411885489	0.021828754	0.9054959	0.0170100610664923	0.015597746543877	True	0.984402253456123	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	GSM7841724	MCAO	0.14137529	1.0	0.018410169	-0.0836984441822921	-0.8003264549066009	0.0016642003	0.495515	1.0	0.5747573171405854	True	0.4252426828594146	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	GSM7841724	MCAO	0.31185275	1.0	0.088830896	0.1609711161525144	-0.1666976172351069	0.0106531335	0.6832992	1.0	0.873394928263947	True	0.12660507173605295	reported_expression_eligible	True
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	GSM7841720	Sham	1.2248893	0.0	1.4906597	1.079725059424155	1.3318878630141202	0.05030534	0.9074327	0.0041692882813644	0.0401657631799144	True	0.9598342368200856	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	GSM7841720	Sham	2.3763008	0.0	5.533871	1.9842780030384184	1.9801500071560063	0.041999713	0.949718	0.0050313717484609	7.572605628802003e-06	True	0.9999924273943712	reported_expression_eligible	True
