sender	receiver	ligand	receptor	dataset	config	metric	n_expected_animals	n_observed_finite	n_observed_sham	n_observed_mcao	missing_or_nonfinite_samples	n_sham	n_mcao	mean_sham	mean_mcao	score_difference	animal_welch_p	animal_welch_fdr	animal_exact_permutation_p	n_label_permutations	n_bh_tests	status
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	expr_prod	5	5	3	2		3.0	2.0	1.1600076666666668	2.1340776	0.9740699333333331	0.08933167985750144	0.30006282208545354	0.1	10.0	524.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	expr_prod	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	expr_prod	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	lr_logfc	5	5	3	2		3.0	2.0	1.3136690009004701	0.42204768806294124	-0.8916213128375289	0.08153280282368223	0.2775562670574048	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	lr_logfc	5	5	3	2		3.0	2.0	2.104383833641528	0.7539451841343799	-1.350438649507148	0.0008888835644418724	0.058221873470942646	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	lr_logfc	5	5	3	2		3.0	2.0	1.2834844793952402	1.5486642760133253	0.2651797966180851	0.08371312739485177	0.27849657515423043	0.2	10.0	524.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	lr_logfc	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	lr_logfc	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	spec_weight	5	5	3	2		3.0	2.0	0.05510741966666666	0.029987405	-0.025120014666666655	0.06905019349395089	0.34011863923634794	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	spec_weight	5	5	3	2		3.0	2.0	0.05018280833333333	0.014043311999999999	-0.036139496333333326	0.007744203655574579	0.21034890691471472	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	spec_weight	5	5	3	2		3.0	2.0	0.024656831333333334	0.026354803	0.0016979716666666658	0.5380264946301916	0.7168257247242565	0.6	10.0	524.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	spec_weight	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	spec_weight	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	lrscore	5	5	3	2		3.0	2.0	0.9082716999999999	0.86253125	-0.04574044999999993	0.1400958061424142	0.3462745397104955	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	lrscore	5	5	3	2		3.0	2.0	0.9475134666666666	0.89024422	-0.05726924666666655	0.18695096585521476	0.3964096395354989	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	lrscore	5	5	3	2		3.0	2.0	0.8898606	0.91251845	0.02265784999999998	0.06647018010945191	0.25644450754273557	0.1	10.0	524.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	lrscore	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	lrscore	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	magnitude_rank	5	5	3	2		3.0	2.0	0.9679141588195082	0.7044042776799819	-0.2635098811395262	0.14652862104671768	0.4805826550398773	0.1	10.0	516.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	magnitude_rank	5	5	3	2		3.0	2.0	0.9999689911686039	0.9750307789894044	-0.02493821217919956	0.3987890295348136	0.7072268238302605	0.1	10.0	516.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	magnitude_rank	5	5	3	2		3.0	2.0	0.9162287180889975	0.99048752676031	0.07425880867131252	0.022891215100295553	0.22950588600237873	0.1	10.0	516.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	magnitude_rank	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	magnitude_rank	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
