config	sender	receiver	ligand	receptor
reference_singlet	Endothelial	Astrocyte	Mfge8	Pdgfrb
reference_singlet	Endothelial	Astrocyte	Mfng	Notch1
reference_singlet	Endothelial	Astrocyte	Mfng	Notch2
reference_singlet	Endothelial	Astrocyte	Pdap1	Pdgfrb
reference_singlet	Endothelial	Astrocyte	Pdgfb	Itgav
reference_singlet	Endothelial	Astrocyte	Pdgfb	Lrp1
reference_singlet	Endothelial	Astrocyte	Pdgfb	S1pr1
reference_singlet	Endothelial	Astrocyte	Plat	Lrp1
reference_singlet	Endothelial	Astrocyte	Pltp	Abca1
reference_singlet	Endothelial	Astrocyte	Pros1	Axl
reference_singlet	Endothelial	Astrocyte	Pros1	Mertk
reference_singlet	Endothelial	Astrocyte	Psap	Gpr37
reference_singlet	Endothelial	Astrocyte	Psap	Gpr37l1
reference_singlet	Endothelial	Astrocyte	Psap	Lrp1
reference_singlet	Endothelial	Astrocyte	Ptn	Cdh10
reference_singlet	Endothelial	Astrocyte	Ptn	Ncl
reference_singlet	Endothelial	Astrocyte	Ptn	Ptprs
reference_singlet	Endothelial	Astrocyte	Ptn	Ptprz1
reference_singlet	Endothelial	Astrocyte	Ptn	Sdc2
reference_singlet	Endothelial	Astrocyte	Ptn	Sdc4
reference_singlet	Endothelial	Astrocyte	Rtn4	Tnfrsf19
reference_singlet	Endothelial	Astrocyte	Selplg	Esam
reference_singlet	Endothelial	Astrocyte	Serpine2	Lrp1
reference_singlet	Endothelial	Astrocyte	Sorbs1	Itgb5
reference_singlet	Endothelial	Astrocyte	Sparc	Fgfr1
reference_singlet	Endothelial	Astrocyte	Sptan1	Ptpra
reference_singlet	Endothelial	Astrocyte	Tgfb1	Itgb1
reference_singlet	Endothelial	Astrocyte	Tgfb1	Itgb5
reference_singlet	Endothelial	Astrocyte	Tgfb1	Itgb8
reference_singlet	Endothelial	Astrocyte	Tgfb1	Lpp
reference_singlet	Endothelial	Astrocyte	Tgfb1	Sdc2
reference_singlet	Endothelial	Astrocyte	Tgm2	Itgb1
reference_singlet	Endothelial	Astrocyte	Tgm2	Sdc4
reference_singlet	Endothelial	Astrocyte	Timp3	Ddr1
reference_singlet	Endothelial	Astrocyte	Tln1	Itgb5
reference_singlet	Endothelial	Astrocyte	Trf	Tfrc
reference_singlet	Endothelial	Astrocyte	Vwf	Itgb1
reference_singlet	Endothelial	Astrocyte	Vwf	Lrp1
reference_singlet	Endothelial	Astrocyte	Vwf	Sirpa
reference_singlet	Endothelial	Astrocyte	Ybx1	Notch1
