analysis	config	metric	statistic	randomized_cohort	fixed_observed_cohort	observed	null_mean	null_median	null_q025	null_q975	n_conditional_allocations	n_at_least_observed	conditional_unadjusted_upper_tail_p	minimum_attainable_upper_tail_p	joint_n_allocations	joint_exact_upper_tail_p	joint_holm_adjusted_p	original_joint_test_family	observed_n_candidates	conditional_n_candidates_min	conditional_n_candidates_max	conditional_p_adjusted_for_multiple_testing
fixed_common	reference_singlet	expr_prod	same_direction_nonzero_fraction	GSE245386	GSE174574	0.7298850574712644	0.5074712643678161	0.4798850574712644	0.26954022988505744	0.7387931034482759	10	2	0.2	0.1	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	expr_prod	spearman_rho	GSE245386	GSE174574	0.6599830974493549	0.030891803174125865	-0.05191953292466515	-0.6343483975607478	0.6581558793312785	10	1	0.1	0.1	200	0.005	0.15	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lrscore	same_direction_all_fraction	GSE245386	GSE174574	0.7241379310344828	0.5103448275862069	0.4224137931034482	0.2873563218390804	0.7693965517241379	10	4	0.4	0.1	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lrscore	same_direction_nonzero_fraction	GSE245386	GSE174574	0.7241379310344828	0.5103448275862069	0.4224137931034482	0.2873563218390804	0.7693965517241379	10	4	0.4	0.1	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lrscore	spearman_rho	GSE245386	GSE174574	0.6281552756687555	0.02209769309797332	-0.12347290466460276	-0.6185196828152085	0.6282488433598261	10	2	0.2	0.1	200	0.01	0.25	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	magnitude_priority	same_direction_all_fraction	GSE245386	GSE174574	0.5459770114942529	0.4752873563218391	0.4568965517241379	0.37169540229885056	0.5899425287356322	10	4	0.4	0.1	200	0.225	0.75	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	magnitude_priority	same_direction_nonzero_fraction	GSE245386	GSE174574	0.572289156626506	0.49819277108433735	0.47891566265060237	0.3896084337349398	0.6183734939759037	10	4	0.4	0.1	200	0.225	0.75	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	magnitude_priority	spearman_rho	GSE245386	GSE174574	0.102453265290396	0.009345826338929577	-0.06839140169023145	-0.18647736975909454	0.2905890493704928	10	4	0.4	0.1	200	0.27	0.75	A_fixed_common_metrics	174	174	174	False
dynamic_gate	primary	custom_score	same_direction_all_fraction	GSE174574	GSE245386	0.7987616099071208	0.5	0.5	0.21594427244582035	0.7840557275541795	20	1	0.05	0.05	200	0.005	0.03	C_exploratory_dynamic_gate	323	312	323	False
dynamic_gate	primary	custom_score	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7987616099071208	0.5	0.5	0.21594427244582035	0.7840557275541795	20	1	0.05	0.05	200	0.005	0.03	C_exploratory_dynamic_gate	323	312	323	False
