count_source	config	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
raw	reference_singlet	GSE174574	GSM5319987	all_reported_target_edges	magnitude_rank	246	40	0.16260162601626016	44	40
raw	reference_singlet	GSE174574	GSM5319987	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	246	70	0.2845528455284553	74	70
raw	reference_singlet	GSE174574	GSM5319987	fixed_common_target_edges	magnitude_rank	174	25	0.14367816091954022	29	25
raw	reference_singlet	GSE174574	GSM5319987	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	32	0.1839080459770115	36	32
raw	reference_singlet	GSE174574	GSM5319988	all_reported_target_edges	magnitude_rank	271	47	0.17343173431734318	53	47
raw	reference_singlet	GSE174574	GSM5319988	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	271	78	0.2878228782287823	82	78
raw	reference_singlet	GSE174574	GSM5319988	fixed_common_target_edges	magnitude_rank	174	26	0.14942528735632185	32	26
raw	reference_singlet	GSE174574	GSM5319988	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	29	0.16666666666666666	33	29
raw	reference_singlet	GSE174574	GSM5319989	all_reported_target_edges	magnitude_rank	272	49	0.1801470588235294	53	49
raw	reference_singlet	GSE174574	GSM5319989	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	272	78	0.2867647058823529	82	78
raw	reference_singlet	GSE174574	GSM5319989	fixed_common_target_edges	magnitude_rank	174	25	0.14367816091954022	27	25
raw	reference_singlet	GSE174574	GSM5319989	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	28	0.16091954022988506	30	28
raw	reference_singlet	GSE174574	GSM5319990	all_reported_target_edges	magnitude_rank	327	69	0.21100917431192662	75	69
raw	reference_singlet	GSE174574	GSM5319990	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	327	98	0.2996941896024465	106	98
raw	reference_singlet	GSE174574	GSM5319990	fixed_common_target_edges	magnitude_rank	174	27	0.15517241379310345	31	27
raw	reference_singlet	GSE174574	GSM5319990	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	28	0.16091954022988506	32	28
raw	reference_singlet	GSE174574	GSM5319991	all_reported_target_edges	magnitude_rank	278	58	0.20863309352517986	64	58
raw	reference_singlet	GSE174574	GSM5319991	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	278	80	0.28776978417266186	84	80
raw	reference_singlet	GSE174574	GSM5319991	fixed_common_target_edges	magnitude_rank	174	30	0.1724137931034483	32	30
raw	reference_singlet	GSE174574	GSM5319991	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	34	0.19540229885057472	36	34
raw	reference_singlet	GSE174574	GSM5319992	all_reported_target_edges	magnitude_rank	365	79	0.21643835616438356	85	79
raw	reference_singlet	GSE174574	GSM5319992	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	365	113	0.3095890410958904	117	113
raw	reference_singlet	GSE174574	GSM5319992	fixed_common_target_edges	magnitude_rank	174	23	0.13218390804597702	27	23
raw	reference_singlet	GSE174574	GSM5319992	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	20	0.11494252873563218	22	20
raw	reference_singlet	GSE245386	GSM7841720	all_reported_target_edges	magnitude_rank	619	113	0.1825525040387722	129	113
raw	reference_singlet	GSE245386	GSM7841720	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	619	182	0.2940226171243942	198	182
raw	reference_singlet	GSE245386	GSM7841720	fixed_common_target_edges	magnitude_rank	174	13	0.07471264367816093	15	13
raw	reference_singlet	GSE245386	GSM7841720	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	8	0.04597701149425287	10	8
raw	reference_singlet	GSE245386	GSM7841721	all_reported_target_edges	magnitude_rank	654	112	0.1712538226299694	127	112
raw	reference_singlet	GSE245386	GSM7841721	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	654	170	0.2599388379204893	185	170
raw	reference_singlet	GSE245386	GSM7841721	fixed_common_target_edges	magnitude_rank	174	7	0.040229885057471264	9	7
raw	reference_singlet	GSE245386	GSM7841721	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	5	0.028735632183908046	7	5
raw	reference_singlet	GSE245386	GSM7841722	all_reported_target_edges	magnitude_rank	670	120	0.1791044776119403	143	120
raw	reference_singlet	GSE245386	GSM7841722	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	670	182	0.2716417910447761	195	182
raw	reference_singlet	GSE245386	GSM7841722	fixed_common_target_edges	magnitude_rank	174	7	0.040229885057471264	9	7
raw	reference_singlet	GSE245386	GSM7841722	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	5	0.028735632183908046	7	5
raw	reference_singlet	GSE245386	GSM7841723	all_reported_target_edges	magnitude_rank	810	178	0.21975308641975308	205	178
raw	reference_singlet	GSE245386	GSM7841723	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	810	221	0.27283950617283953	242	221
raw	reference_singlet	GSE245386	GSM7841723	fixed_common_target_edges	magnitude_rank	174	9	0.05172413793103448	11	9
raw	reference_singlet	GSE245386	GSM7841723	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	4	0.022988505747126436	6	4
raw	reference_singlet	GSE245386	GSM7841724	all_reported_target_edges	magnitude_rank	682	143	0.20967741935483872	163	143
raw	reference_singlet	GSE245386	GSM7841724	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	682	201	0.29472140762463345	221	201
raw	reference_singlet	GSE245386	GSM7841724	fixed_common_target_edges	magnitude_rank	174	10	0.05747126436781609	14	10
raw	reference_singlet	GSE245386	GSM7841724	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	6	0.034482758620689655	10	6
