dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE245386	GSM7841723	MCAO	primary	Astrocyte	C1qa	0.7291666666666646	0.7291666666666646	0.0381944444444444	5.656250000000016	2.8133320809480806	1.3730344880797576	0.2009613432861087
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Lyz2	0.1145833333333333	0.1145833333333333	0.0173611111111111	0.173611111111111	0.0465883244520947	0.108859005720547	0.0220120946468146
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Spp1	0.45486111111111	0.45486111111111	0.0868055555555555	1.8263888888888904	0.9643676446696656	0.5573032795147487	0.2643614833776994
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Timp3	0.4895833333333321	0.4895833333333321	0.2534722222222218	1.2743055555555558	0.956661964772015	0.6562886252241626	0.6051062847668081
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Ptn	0.7673611111111089	0.7673611111111089	0.6145833333333317	6.6736111111111205	6.16270506427325	1.7695600380448544	1.800213092952364
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Plat	0.3576388888888881	0.3576388888888881	0.1180555555555556	0.9687499999999988	0.5541266527220435	0.4272921667716943	0.3360725152552306
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Ptprz1	0.7708333333333311	0.7708333333333311	0.6423611111111094	10.246527777777771	9.819522812898189	1.9626572429514813	2.0233301980376237
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Lrp1	0.5902777777777762	0.5902777777777762	0.4374999999999989	2.7986111111111147	2.555530203098033	0.9526829348690548	0.9443992712408646
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Itga5	0.2013888888888886	0.2013888888888886	0.09375	0.5520833333333329	0.3161858378491656	0.2277890370634613	0.1831282747744456
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Itgb1	0.5243055555555542	0.5243055555555542	0.2916666666666661	1.3506944444444438	0.9605639151489164	0.6170098094102919	0.5667939815160331
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Col4a1	0.3298611111111104	0.3298611111111104	0.1215277777777778	0.7847222222222214	0.5175572570351769	0.3378409281788227	0.2819881356608519
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Itga3	0.0277777777777777	0.0277777777777777	0.0034722222222222	0.0381944444444444	0.0300732883140881	0.018935172469636	0.0180416975247573
GSE245386	GSM7841723	MCAO	primary	Endothelial	Slc1a2	0.1683366733466935	0.1683366733466935	0.0	0.1988977955911825	0.0296358137248947	0.1364097419409152	0.031515050993734
GSE245386	GSM7841723	MCAO	primary	Endothelial	Slc1a3	0.0961923847695391	0.0961923847695391	0.001503006012024	0.1167334669338678	0.0054678295417379	0.0682870242895369	0.0043403183253568
GSE245386	GSM7841723	MCAO	primary	Endothelial	Aldh1l1	0.0060120240480961	0.0060120240480961	0.0	0.0060120240480961	5.45166430199574e-16	0.0029582513459394	3.726700282732288e-16
GSE245386	GSM7841723	MCAO	primary	Endothelial	Pecam1	0.9754509018036206	0.9754509018036206	0.8987975951903898	10.566633266533046	10.492161898120246	2.2715128749021987	2.326995441635594
GSE245386	GSM7841723	MCAO	primary	Endothelial	Cdh5	0.8827655310621324	0.8827655310621324	0.7169338677354697	5.03406813627255	4.995294655043009	1.5213343042241765	1.5661816183774848
GSE245386	GSM7841723	MCAO	primary	Endothelial	Kdr	0.7134268537074134	0.7134268537074134	0.4679358717434753	2.1938877755510755	2.1694407994354137	0.9000429397298673	0.9301807674059168
GSE245386	GSM7841723	MCAO	primary	Endothelial	Ptprc	0.1943887775551104	0.1943887775551104	0.0055110220440881	0.3341683366733448	0.0607489613573711	0.1559675175168954	0.0121313274371365
GSE245386	GSM7841723	MCAO	primary	Endothelial	Tyrobp	0.4669338677354593	0.4669338677354593	0.0060120240480961	0.8972945891783533	0.0439604297111213	0.4643063314443109	0.0132087337580923
GSE245386	GSM7841723	MCAO	primary	Endothelial	C1qa	0.8341683366733521	0.8341683366733521	0.0065130260521042	3.362725450901773	0.2057035070263353	1.192176089734435	0.0232834597368635
GSE245386	GSM7841723	MCAO	primary	Endothelial	Lyz2	0.1518036072144289	0.1518036072144289	0.001002004008016	0.2274549098196394	0.0396422922377934	0.1118784819750999	0.0033237320127596
GSE245386	GSM7841723	MCAO	primary	Endothelial	Spp1	0.5200400801603083	0.5200400801603083	0.0040080160320641	1.0290581162324597	0.1392537253935742	0.4942415647426191	0.0960506279529627
GSE245386	GSM7841723	MCAO	primary	Endothelial	Timp3	0.8386773547094245	0.8386773547094245	0.7004008016032043	10.149298597194395	9.9903212806345	1.7391472891643014	1.7821629934791348
GSE245386	GSM7841723	MCAO	primary	Endothelial	Ptn	0.3677354709418776	0.3677354709418776	0.1768537074148298	0.8416833667334626	0.6417501883662434	0.3797471629679168	0.3348720871013049
GSE245386	GSM7841723	MCAO	primary	Endothelial	Plat	0.90130260521043	0.90130260521043	0.7980961923847729	13.289078156312558	13.132221091453962	2.1438257965883447	2.187932399002084
GSE245386	GSM7841723	MCAO	primary	Endothelial	Ptprz1	0.0300601202404809	0.0300601202404809	0.0	0.031563126252505	8.178234731193855e-12	0.0238686543464964	9.962260099057511e-12
GSE245386	GSM7841723	MCAO	primary	Endothelial	Lrp1	0.0951903807615231	0.0951903807615231	0.0045090180360721	0.1252505010020041	0.0176030911100158	0.0666666370311776	0.0084731698741802
GSE245386	GSM7841723	MCAO	primary	Endothelial	Itga5	0.3321643286573104	0.3321643286573104	0.1392785571142285	0.6202404809619202	0.4922446428064317	0.298159292989233	0.269618848921589
GSE245386	GSM7841723	MCAO	primary	Endothelial	Itgb1	0.8532064128256578	0.8532064128256578	0.6898797595190354	4.35120240480961	4.1352173188667285	1.3862270720036154	1.4043461290609225
GSE245386	GSM7841723	MCAO	primary	Endothelial	Col4a1	0.922845691382776	0.922845691382776	0.8301603206412878	9.450400801603204	9.329014012378543	2.003405913505829	2.049755067649348
GSE245386	GSM7841723	MCAO	primary	Endothelial	Itga3	0.3061122244488949	0.3061122244488949	0.1042084168336674	0.5125250501001946	0.5069824427682271	0.2649822840058909	0.2754197888411174
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Slc1a2	1.000000000000004	1.000000000000004	1.000000000000004	94.90502793296096	94.89780433784324	4.388392747999605	4.5815333755195295
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Slc1a3	0.944134078212294	0.944134078212294	0.910614525139668	33.111731843575406	33.00615356875066	3.1111341593325106	3.255211361856152
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Aldh1l1	0.715083798882683	0.715083798882683	0.558659217877095	2.815642458100561	2.8105419987624662	1.0242495731878671	1.0984787872502626
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Pecam1	0.206703910614525	0.206703910614525	0.0167597765363128	0.2513966480446926	0.0912139296387651	0.1553214409149924	0.0686564928232898
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Cdh5	0.1117318435754189	0.1117318435754189	0.0	0.1173184357541898	0.0129761108325309	0.0830591864693839	0.0152514867610849
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Kdr	0.0558659217877095	0.0558659217877095	0.0	0.0558659217877095	9.439556286729462e-05	0.0261178702913918	6.8958223209513e-05
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Ptprc	0.201117318435754	0.201117318435754	0.0	0.2458100558659216	1.560174920391348e-16	0.1539272206889162	1.652933714501723e-16
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Tyrobp	0.4413407821229047	0.4413407821229047	0.0	0.7821229050279339	6.267115283116078e-05	0.4553545827861074	7.720243945666168e-05
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	C1qa	0.776536312849164	0.776536312849164	0.0	3.3184357541899505	0.0004559666682895	1.1640826464531049	0.0005136222532198
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Lyz2	0.1173184357541898	0.1173184357541898	0.0	0.1284916201117318	0.0002338889032551	0.0931488188055497	0.0002083332796214
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Spp1	0.513966480446927	0.513966480446927	0.0837988826815642	1.0446927374301689	0.3075363419776548	0.4813475284229097	0.223096968831791
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Timp3	0.581005586592179	0.581005586592179	0.3463687150837986	1.6480446927374317	1.2702816385072389	0.7071366489811762	0.6530038900637901
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Ptn	0.877094972067042	0.877094972067042	0.787709497206706	9.324022346368729	8.98004403106527	1.968217663803808	2.068901689188687
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Plat	0.3743016759776533	0.3743016759776533	0.1340782122905027	0.893854748603353	0.4181215660067195	0.3448489740542124	0.2397554207708556
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Ptprz1	0.905027932960897	0.905027932960897	0.854748603351958	14.687150837988844	14.677103587225504	2.359788787182121	2.481199553298271
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Lrp1	0.69832402234637	0.69832402234637	0.581005586592179	3.6368715083798913	3.475431604883964	1.0608970035771077	1.1033842451199314
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Itga5	0.1843575418994412	0.1843575418994412	0.0782122905027932	0.5027932960893854	0.2551888286333548	0.18938521317144	0.1440649358415167
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Itgb1	0.620111731843576	0.620111731843576	0.3519553072625695	1.5251396648044708	1.1880869539522607	0.6459527662642617	0.5974564257875917
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Col4a1	0.402234636871508	0.402234636871508	0.1620111731843574	0.849162011173185	0.5904299682614474	0.3716424444803202	0.3133141467940715
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	Itga3	0.0223463687150838	0.0223463687150838	0.0	0.0223463687150838	0.0161923046728444	0.0138737336182586	0.0109897286339279
