config	dataset	sample	condition	context_cell_type	n_cells
reference_singlet	GSE245386	GSM7841723	MCAO	Microglia	1694
reference_singlet	GSE245386	GSM7841723	MCAO	Myeloid	1104
reference_singlet	GSE245386	GSM7841723	MCAO	Oligodendrocyte	784
reference_singlet	GSE245386	GSM7841723	MCAO	Pericyte	406
reference_singlet	GSE245386	GSM7841723	MCAO	Smooth_muscle	264
reference_singlet	GSE245386	GSM7841723	MCAO	Astrocyte	179
reference_singlet	GSE245386	GSM7841723	MCAO	Choroid	111
reference_singlet	GSE245386	GSM7841723	MCAO	Erythroid	101
reference_singlet	GSE245386	GSM7841723	MCAO	Neuron	85
reference_singlet	GSE245386	GSM7841723	MCAO	Ependymal	80
reference_singlet	GSE245386	GSM7841723	MCAO	Fibroblast	66
reference_singlet	GSE245386	GSM7841723	MCAO	Neutrophil	64
reference_singlet	GSE245386	GSM7841723	MCAO	OPC	52
reference_singlet	GSE245386	GSM7841724	MCAO	Oligodendrocyte	1993
reference_singlet	GSE245386	GSM7841724	MCAO	Endothelial	1983
reference_singlet	GSE245386	GSM7841724	MCAO	Microglia	1662
reference_singlet	GSE245386	GSM7841724	MCAO	Myeloid	1177
reference_singlet	GSE245386	GSM7841724	MCAO	Pericyte	632
reference_singlet	GSE245386	GSM7841724	MCAO	Astrocyte	583
reference_singlet	GSE245386	GSM7841724	MCAO	Smooth_muscle	323
reference_singlet	GSE245386	GSM7841724	MCAO	Neuron	293
reference_singlet	GSE245386	GSM7841724	MCAO	OPC	95
reference_singlet	GSE245386	GSM7841724	MCAO	Ependymal	91
reference_singlet	GSE245386	GSM7841724	MCAO	Neutrophil	68
reference_singlet	GSE245386	GSM7841724	MCAO	Erythroid	55
reference_singlet	GSE245386	GSM7841724	MCAO	Fibroblast	33
