Package	Version	LibPath
grDevices	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
graphics	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
grid	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
lattice	0.22-9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
methods	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
mgcv	1.9-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
nlme	3.1-169	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
nnet	7.3-20	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
parallel	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
rpart	4.1.27	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
spatial	7.3-18	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
splines	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
stats	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
stats4	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
survival	3.8-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
tcltk	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
tools	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
utils	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
