source	target	ligand	receptor
Ependymal	Astrocyte	Lamb2	Itgav_Itgb8
Ependymal	Astrocyte	Mdk	Itga6_Itgb1
Ependymal	Astrocyte	Mdk	Lrp1
Ependymal	Astrocyte	Mdk	Ncl
Ependymal	Astrocyte	Mdk	Ptprz1
Ependymal	Astrocyte	Mdk	Sdc2
Ependymal	Astrocyte	Mdk	Sdc4
Ependymal	Astrocyte	Ncam1	Fgfr1
Ependymal	Astrocyte	Nrxn2	Nlgn3
Ependymal	Astrocyte	Pdgfa	Pdgfrb
Ependymal	Astrocyte	Pros1	Axl
Ependymal	Astrocyte	Pros1	Mertk
Ependymal	Astrocyte	Psap	Gpr37
Ependymal	Astrocyte	Psap	Gpr37l1
Ependymal	Astrocyte	Ptn	Ncl
Ependymal	Astrocyte	Ptn	Ptprz1
Ependymal	Astrocyte	Ptn	Sdc2
Ependymal	Astrocyte	Ptn	Sdc4
Ependymal	Endothelial	Lamb2	Dag1
Ependymal	Endothelial	Lamb2	Itga6_Itgb1
Ependymal	Endothelial	Mdk	Itga6_Itgb1
Ependymal	Endothelial	Mdk	Ncl
Ependymal	Endothelial	Ptn	Ncl
Ependymal	Endothelial	Ptn	Sdc3
Ependymal	Ependymal	Lamb2	Dag1
Ependymal	Ependymal	Mdk	Lrp1
Ependymal	Ependymal	Mdk	Ncl
Ependymal	Ependymal	Mdk	Ptprz1
Ependymal	Ependymal	Mdk	Sdc2
Ependymal	Ependymal	Mdk	Sdc4
Ependymal	Ependymal	Ncam1	Fgfr1
Ependymal	Ependymal	Psap	Gpr37l1
Ependymal	Ependymal	Ptn	Ncl
Ependymal	Ependymal	Ptn	Ptprz1
Ependymal	Ependymal	Ptn	Sdc2
Ependymal	Ependymal	Ptn	Sdc4
Ependymal	Fibroblast	App	Cd74
Ependymal	Fibroblast	Fn1	Itgav_Itgb1
Ependymal	Fibroblast	Gas6	Axl
Ependymal	Fibroblast	Jam2	Itgav_Itgb1
Ependymal	Fibroblast	Lamb2	Dag1
Ependymal	Fibroblast	Mdk	Lrp1
Ependymal	Fibroblast	Mdk	Ncl
Ependymal	Fibroblast	Mdk	Sdc2
Ependymal	Fibroblast	Mdk	Sdc4
Ependymal	Fibroblast	Ncam1	Fgfr1
Ependymal	Fibroblast	Pdgfa	Pdgfra
Ependymal	Fibroblast	Pdgfa	Pdgfrb
Ependymal	Fibroblast	Pros1	Axl
Ependymal	Fibroblast	Ptn	Ncl
Ependymal	Fibroblast	Ptn	Sdc2
Ependymal	Fibroblast	Ptn	Sdc4
Ependymal	Fibroblast	Tgfb2	Tgfbr1_Tgfbr2
Ependymal	Microglia	App	Cd74
Ependymal	Microglia	App	Tnfrsf21
Ependymal	Microglia	Fn1	Itgav_Itgb1
Ependymal	Microglia	Gas6	Mertk
Ependymal	Microglia	Jam2	Itgav_Itgb1
Ependymal	Microglia	Jam3	Itgam_Itgb2
Ependymal	Microglia	Lamb2	Itga6_Itgb1
Ependymal	Microglia	Mdk	Itga6_Itgb1
Ependymal	Microglia	Mdk	Lrp1
Ependymal	Microglia	Mdk	Ncl
Ependymal	Microglia	Pros1	Mertk
Ependymal	Microglia	Ptn	Ncl
Ependymal	Microglia	Rarres2	Cmklr1
Ependymal	Microglia	Tgfb2	Tgfbr1_Tgfbr2
Ependymal	Myeloid	App	Cd74
Ependymal	Myeloid	Gas6	Axl
Ependymal	Myeloid	Gas6	Mertk
Ependymal	Myeloid	Jam3	Itgam_Itgb2
Ependymal	Myeloid	Lamb2	Itga6_Itgb1
Ependymal	Myeloid	Mdk	Itga6_Itgb1
Ependymal	Myeloid	Mdk	Lrp1
Ependymal	Myeloid	Mdk	Ncl
Ependymal	Myeloid	Mdk	Sdc4
Ependymal	Myeloid	Pros1	Axl
Ependymal	Myeloid	Pros1	Mertk
Ependymal	Myeloid	Ptn	Ncl
Ependymal	Myeloid	Ptn	Sdc3
Ependymal	Myeloid	Ptn	Sdc4
Ependymal	Myeloid	Rarres2	Cmklr1
Ependymal	Myeloid	Tgfb2	Tgfbr1_Tgfbr2
Ependymal	Oligodendrocyte	Fn1	Itgav_Itgb1
Ependymal	Oligodendrocyte	Gas6	Tyro3
Ependymal	Oligodendrocyte	Grn	Sort1
Ependymal	Oligodendrocyte	Jam2	Itgav_Itgb1
Ependymal	Oligodendrocyte	Lamb2	Itga6_Itgb1
Ependymal	Oligodendrocyte	Lamb2	Itga6_Itgb4
Ependymal	Oligodendrocyte	Mdk	Itga6_Itgb1
Ependymal	Oligodendrocyte	Mdk	Ncl
Ependymal	Oligodendrocyte	Pros1	Tyro3
Ependymal	Oligodendrocyte	Psap	Gpr37
Ependymal	Oligodendrocyte	Ptn	Ncl
Ependymal	Pericyte	App	Tnfrsf21
Ependymal	Pericyte	Col4a2	Itga1_Itgb1
Ependymal	Pericyte	Col9a3	Itga1_Itgb1
Ependymal	Pericyte	Cxcl12	Ackr3
Ependymal	Pericyte	Gas6	Axl
Ependymal	Pericyte	Lamb2	Dag1
Ependymal	Pericyte	Lamb2	Itga6_Itgb1
Ependymal	Pericyte	Mdk	Itga6_Itgb1
Ependymal	Pericyte	Mdk	Lrp1
Ependymal	Pericyte	Mdk	Ncl
Ependymal	Pericyte	Mdk	Sdc2
Ependymal	Pericyte	Mif	Ackr3
Ependymal	Pericyte	Ncam1	Fgfr1
Ependymal	Pericyte	Pdgfa	Pdgfrb
Ependymal	Pericyte	Pros1	Axl
Ependymal	Pericyte	Ptn	Ncl
Ependymal	Pericyte	Ptn	Sdc2
Ependymal	Pericyte	Ptn	Sdc3
Ependymal	Smooth_muscle	App	Cd74
Ependymal	Smooth_muscle	Col4a2	Itga1_Itgb1
Ependymal	Smooth_muscle	Col9a3	Itga1_Itgb1
Ependymal	Smooth_muscle	Cxcl12	Ackr3
Ependymal	Smooth_muscle	Fn1	Itgav_Itgb1
Ependymal	Smooth_muscle	Gas6	Axl
Ependymal	Smooth_muscle	Gas6	Mertk
Ependymal	Smooth_muscle	Grn	Sort1
Ependymal	Smooth_muscle	Jam2	Itgav_Itgb1
Ependymal	Smooth_muscle	Lamb2	Dag1
Ependymal	Smooth_muscle	Lamb2	Itga7_Itgb1
Ependymal	Smooth_muscle	Mdk	Lrp1
Ependymal	Smooth_muscle	Mdk	Ncl
Ependymal	Smooth_muscle	Mdk	Sdc2
Ependymal	Smooth_muscle	Mdk	Sdc4
Ependymal	Smooth_muscle	Mif	Ackr3
Ependymal	Smooth_muscle	Ncam1	Fgfr1
Ependymal	Smooth_muscle	Pdgfa	Pdgfrb
