source	target	original_ligand	original_receptor	canonical_ligand	canonical_receptor	complex_order_changed	n_native_rows_exact_canonical	n_native_protein_rows_exact_canonical	native_interaction_ids	casefold_only_native_match	all_original_subunit_symbols_in_native_geneInfo	native_rows_requiring_additional_subunits	missing_genes_by_sample	in_controlled_1548	in_final_32	reason
Endothelial	Astrocyte	Lamb2	Rpsa	Lamb2	Rpsa	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Lgals3bp	Itgb1	Lgals3bp	Itgb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Lman1	Mcfd2	Lman1	Mcfd2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Lrpap1	Lrp1	Lrpap1	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Mfge8	Itgav	Mfge8	Itgav	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Mfge8	Itgb5	Mfge8	Itgb5	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Mfge8	Pdgfrb	Mfge8	Pdgfrb	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Mfng	Notch1	Mfng	Notch1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Mfng	Notch2	Mfng	Notch2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Nampt	Insr	Nampt	Insr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Pdap1	Pdgfrb	Pdap1	Pdgfrb	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Pdgfb	Itgav	Pdgfb	Itgav	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Pdgfb	Lrp1	Pdgfb	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Pdgfb	S1pr1	Pdgfb	S1pr1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Plat	Lrp1	Plat	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Pltp	Abca1	Pltp	Abca1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Pros1	Axl	Pros1	Axl	False	1	1	PROS1_AXL	False	True		{}	True	True	retained
Endothelial	Astrocyte	Pros1	Mertk	Pros1	Mertk	False	1	1	PROS1_MERTK	False	True		{}	True	True	retained
Endothelial	Astrocyte	Psap	Gpr37	Psap	Gpr37	False	1	1	PSAP_GPR37	False	True		{}	True	True	retained
Endothelial	Astrocyte	Psap	Gpr37l1	Psap	Gpr37l1	False	1	1	PSAP_GPR37L1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Psap	Lrp1	Psap	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Ptn	Cdh10	Ptn	Cdh10	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Ptn	Ncl	Ptn	Ncl	False	1	1	PTN_NCL	False	True		{}	True	True	retained
Endothelial	Astrocyte	Ptn	Ptprb	Ptn	Ptprb	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Ptn	Ptprs	Ptn	Ptprs	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Ptn	Ptprz1	Ptn	Ptprz1	False	1	1	PTN_PTPRZ1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Ptn	Sdc2	Ptn	Sdc2	False	1	1	PTN_SDC2	False	True		{}	True	True	retained
Endothelial	Astrocyte	Ptn	Sdc4	Ptn	Sdc4	False	1	1	PTN_SDC4	False	True		{}	True	True	retained
Endothelial	Astrocyte	Rtn4	Tnfrsf19	Rtn4	Tnfrsf19	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Selplg	Esam	Selplg	Esam	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Serpine2	Lrp1	Serpine2	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Sparc	Fgfr1	Sparc	Fgfr1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
